dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.197393,9.519525,0.003704,0.148148,2.962963,59.259259,6.282340
0.050000,0.197393,9.519525,0.014815,0.296296,2.962963,0.000000,6.283054
0.050000,0.213872,9.519533,0.033333,0.444444,2.962963,0.000000,0.001057
0.050000,0.239799,9.519582,0.059259,0.592593,2.962963,0.000000,0.002718
0.050000,0.273132,9.519708,0.092593,0.740741,2.962963,0.000000,0.004848
0.050000,0.313871,9.519959,0.133333,0.888889,2.962963,0.000000,0.007443
0.050000,0.362018,9.520391,0.181481,1.037037,2.962963,0.000000,0.010498
0.050000,0.417569,9.521072,0.237037,1.185185,2.962963,0.000000,0.014008
0.050000,0.480524,9.522078,0.300000,1.333333,2.962963,0.000000,0.017964
0.050000,0.550880,9.523497,0.370370,1.481481,2.962963,0.000000,0.022358
0.050000,0.628634,9.525424,0.448148,1.629630,2.962963,0.000000,0.027181
0.050000,0.713781,9.527962,0.533333,1.777778,2.962963,0.000000,0.032423
0.050000,0.806316,9.531225,0.625926,1.925926,2.962963,0.000000,0.038070
0.050000,0.906231,9.535334,0.725926,2.074074,2.962963,0.000000,0.044109
0.050000,1.013518,9.540415,0.833333,2.222222,2.962963,0.000000,0.050526
0.050000,1.128166,9.546603,0.948148,2.370370,2.962963,-0.000000,0.057303
0.050000,1.250162,9.554038,1.070370,2.518519,2.962963,0.000000,0.064421
0.050000,1.379490,9.562865,1.200000,2.666667,2.962963,-0.000000,0.071861
0.050000,1.516134,9.573235,1.337037,2.814815,2.962963,0.000000,0.079602
0.050000,1.660073,9.585300,1.481481,2.962963,2.962963,-0.000000,0.087618
0.050000,1.811286,9.599215,1.633333,3.111111,2.962963,0.000000,0.095885
0.050000,1.969746,9.615137,1.792593,3.259259,2.962963,-0.000000,0.104376
0.050000,2.135428,9.633224,1.959259,3.407407,2.962963,0.000000,0.113061
0.050000,2.308301,9.653631,2.133333,3.555556,2.962963,-0.000000,0.121909
0.050000,2.488334,9.676513,2.314815,3.703704,2.962963,0.000000,0.130888
0.050000,2.675492,9.702019,2.503704,3.851852,2.962963,-0.000000,0.139963
0.050000,2.869740,9.730296,2.700000,4.000000,2.962963,0.000000,0.149098
0.050000,3.067384,9.760900,2.900000,4.000000,0.000000,-59.259259,0.158091
0.050000,3.264750,9.793248,3.100000,4.000000,0.000000,0.000000,0.166765
0.050000,3.461834,9.827275,3.300000,4.000000,0.000000,0.000000,0.175116
0.050000,3.658632,9.862915,3.500000,4.000000,0.000000,0.000000,0.183143
0.050000,3.855144,9.900101,3.700000,4.000000,0.000000,0.000000,0.190844
0.050000,4.051370,9.938767,3.900000,4.000000,0.000000,0.000000,0.198217
0.050000,4.247313,9.978847,4.100000,4.000000,0.000000,0.000000,0.205262
0.050000,4.442975,10.020275,4.300000,4.000000,0.000000,0.000000,0.211978
0.050000,4.638361,10.062983,4.500000,4.000000,0.000000,0.000000,0.218365
0.050000,4.833478,10.106906,4.700000,4.000000,0.000000,0.000000,0.224421
0.050000,5.028333,10.151978,4.900000,4.000000,0.000000,0.000000,0.230149
0.050000,5.222934,10.198133,5.100000,4.000000,0.000000,0.000000,0.235547
0.050000,5.417291,10.245306,5.300000,4.000000,0.000000,0.000000,0.240616
0.050000,5.611414,10.293432,5.500000,4.000000,0.000000,0.000000,0.245357
0.050000,5.805315,10.342446,5.700000,4.000000,0.000000,0.000000,0.249770
0.050000,5.999006,10.392283,5.900000,4.000000,0.000000,0.000000,0.253856
0.050000,6.192500,10.442880,6.100000,4.000000,0.000000,0.000000,0.257615
0.050000,6.385811,10.494172,6.300000,4.000000,0.000000,0.000000,0.261048
0.050000,6.578953,10.546096,6.500000,4.000000,0.000000,0.000000,0.264157
0.050000,6.771941,10.598589,6.700000,4.000000,0.000000,0.000000,0.266941
0.050000,6.964791,10.651588,6.900000,4.000000,0.000000,0.000000,0.269401
0.050000,7.157519,10.705030,7.100000,4.000000,0.000000,0.000000,0.271538
0.050000,7.350141,10.758852,7.300000,4.000000,0.000000,0.000000,0.273353
0.050000,7.542673,10.812994,7.500000,4.000000,0.000000,0.000000,0.274846
0.050000,7.735133,10.867391,7.700000,4.000000,0.000000,0.000000,0.276017
0.050000,7.927538,10.921983,7.900000,4.000000,0.000000,0.000000,0.276866
0.050000,8.119906,10.976708,8.100000,4.000000,0.000000,0.000000,0.277395
0.050000,8.312253,11.031503,8.300000,4.000000,0.000000,0.000000,0.277603
0.050000,8.504598,11.086307,8.500000,4.000000,0.000000,0.000000,0.277490
0.050000,8.696957,11.141059,8.700000,4.000000,0.000000,0.000000,0.277056
0.050000,8.889349,11.195697,8.900000,4.000000,0.000000,0.000000,0.276301
0.050000,9.081792,11.250159,9.100000,4.000000,0.000000,0.000000,0.275225
0.050000,9.274301,11.304382,9.300000,4.000000,0.000000,0.000000,0.273828
0.050000,9.466894,11.358305,9.500000,4.000000,0.000000,0.000000,0.272109
0.050000,9.659589,11.411866,9.700000,4.000000,0.000000,0.000000,0.270067
0.050000,9.852401,11.465003,9.900000,4.000000,0.000000,0.000000,0.267702
0.050000,10.045347,11.517652,10.100000,4.000000,0.000000,0.000000,0.265014
0.050000,10.238442,11.569751,10.300000,4.000000,0.000000,0.000000,0.262001
