dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.196575,8.551525,0.003704,0.148148,2.962963,59.259259,6.282340
0.050000,0.197266,8.551525,0.004395,0.013823,-2.686497,-112.989191,6.283054
0.050000,0.214896,8.551534,0.022025,0.352594,6.775414,189.238216,0.001057
0.050000,0.242430,8.551586,0.049559,0.550679,3.961697,-56.274351,0.002718
0.050000,0.277825,8.551720,0.084954,0.707902,3.144467,-16.344587,0.004848
0.050000,0.321076,8.551986,0.128206,0.865049,3.142938,-0.030579,0.007443
0.050000,0.372180,8.552444,0.179312,1.022113,3.141285,-0.033064,0.010498
0.050000,0.431128,8.553167,0.238264,1.179044,3.138611,-0.053475,0.014008
0.050000,0.497912,8.554234,0.305056,1.335847,3.136071,-0.050818,0.017964
0.050000,0.572520,8.555739,0.379680,1.492478,3.132610,-0.069216,0.022358
0.050000,0.654942,8.557781,0.462127,1.648940,3.129232,-0.067551,0.027181
0.050000,0.745161,8.560471,0.552386,1.805174,3.124682,-0.091013,0.032423
0.050000,0.843159,8.563927,0.650445,1.961179,3.120110,-0.091426,0.038070
0.050000,0.948915,8.568275,0.756291,2.116919,3.114802,-0.106174,0.044109
0.050000,1.062407,8.573650,0.869909,2.272367,3.108960,-0.116823,0.050526
0.050000,1.183605,8.580192,0.991284,2.427489,3.102428,-0.130643,0.057303
0.050000,1.312478,8.588046,1.120396,2.582252,3.095257,-0.143432,0.064421
0.050000,1.448992,8.597364,1.257228,2.736633,3.087622,-0.152689,0.071861
0.050000,1.593107,8.608300,1.401757,2.890582,3.078985,-0.172752,0.079602
0.050000,1.744779,8.621013,1.553961,3.044081,3.069976,-0.180181,0.087618
0.050000,1.903960,8.635661,1.713815,3.197080,3.059990,-0.199719,0.095885
0.050000,2.070599,8.652405,1.881293,3.349552,3.049448,-0.210833,0.104376
0.050000,2.244638,8.671404,2.056366,3.501462,3.038190,-0.225152,0.113061
0.050000,2.426017,8.692816,2.239004,3.652771,3.026177,-0.240258,0.121909
0.050000,2.614672,8.716793,2.429177,3.803446,3.013500,-0.253538,0.130888
0.050000,2.810534,8.743485,2.626849,3.953452,3.000121,-0.267581,0.139963
0.050000,3.013532,8.773036,2.831987,4.102761,2.986179,-0.278859,0.149098
0.050000,3.219780,8.804971,3.040692,4.174098,1.426736,-31.188858,0.158091
0.050000,3.425431,8.838677,3.249087,4.167909,-0.123772,-31.010152,0.166765
0.050000,3.630481,8.874079,3.457171,4.161670,-0.124775,-0.020054,0.175116
0.050000,3.834925,8.911103,3.664941,4.155390,-0.125601,-0.016527,0.183143
0.050000,4.038762,8.949675,3.872394,4.149077,-0.126258,-0.013138,0.190844
0.050000,4.241991,8.989722,4.079531,4.142739,-0.126766,-0.010161,0.198217
0.050000,4.444614,9.031168,4.286350,4.136382,-0.127140,-0.007478,0.205262
0.050000,4.646636,9.073942,4.492851,4.130012,-0.127394,-0.005084,0.211978
0.050000,4.848062,9.117970,4.699033,4.123635,-0.127543,-0.002970,0.218365
0.050000,5.048899,9.163181,4.904896,4.117255,-0.127599,-0.001125,0.224421
0.050000,5.249156,9.209502,5.110439,4.110877,-0.127576,0.000462,0.230149
0.050000,5.448841,9.256863,5.315665,4.104502,-0.127486,0.001804,0.235547
0.050000,5.647967,9.305193,5.520571,4.098135,-0.127340,0.002914,0.240616
0.050000,5.846544,9.354423,5.725160,4.091778,-0.127150,0.003805,0.245357
0.050000,6.044587,9.404483,5.929432,4.085432,-0.126925,0.004492,0.249770
0.050000,6.242108,9.455306,6.133387,4.079098,-0.126676,0.004989,0.253856
